acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.129,https://api.spotify.com/v1/audio-analysis/6cJ7CoT1gJ89Xy7NJXIInt,Nicki Minaj,90,0.842,229627,0.466,6cJ7CoT1gJ89Xy7NJXIInt,0.000582,10,0.187,-7.231,0,0.0518,124.922,4,https://api.spotify.com/v1/tracks/6cJ7CoT1gJ89Xy7NJXIInt,Want Some More,56,audio_features,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,0.214
0.0921,https://api.spotify.com/v1/audio-analysis/6TobJHzVqlWoYX2VOQ1CIj,Harry Gregson-Williams,62,0.245,195123,0.369,6TobJHzVqlWoYX2VOQ1CIj,0.939,5,0.0956,-16.362,1,0.0353,134.974,3,https://api.spotify.com/v1/tracks/6TobJHzVqlWoYX2VOQ1CIj,A New Day,24,audio_features,spotify:track:6TobJHzVqlWoYX2VOQ1CIj,0.102
0.0213,https://api.spotify.com/v1/audio-analysis/6amLI65cTkROSHHVB4YqgU,Katy Perry,88,0.783,168174,0.911,6amLI65cTkROSHHVB4YqgU,0,0,0.352,-3.745,1,0.243,98.015,4,https://api.spotify.com/v1/tracks/6amLI65cTkROSHHVB4YqgU,Smile,1,audio_features,spotify:track:6amLI65cTkROSHHVB4YqgU,0.734
0.343,https://api.spotify.com/v1/audio-analysis/2TeyvFCTS3uEYGiMwH1K5J,Simian Mobile Disco,47,0.598,439947,0.782,2TeyvFCTS3uEYGiMwH1K5J,0.902,7,0.173,-10.02,0,0.0404,114.99,4,https://api.spotify.com/v1/tracks/2TeyvFCTS3uEYGiMwH1K5J,Calyx,3,audio_features,spotify:track:2TeyvFCTS3uEYGiMwH1K5J,0.213
0.99,https://api.spotify.com/v1/audio-analysis/4bIcsuCVJlG0PYfyZ9fesq,Bumble Bee Slim,7,0.626,201333,0.0847,4bIcsuCVJlG0PYfyZ9fesq,0.0135,0,0.135,-19.299,1,0.05,93.032,4,https://api.spotify.com/v1/tracks/4bIcsuCVJlG0PYfyZ9fesq,"Sail on, Little Girl, Sail On",0,audio_features,spotify:track:4bIcsuCVJlG0PYfyZ9fesq,0.511
0.992,https://api.spotify.com/v1/audio-analysis/2jJOnnitK4dcYWdxUbASNz,Carl Maria von Weber,47,0.267,229093,0.0529,2jJOnnitK4dcYWdxUbASNz,0.923,8,0.0926,-23.083,1,0.0475,129.998,3,https://api.spotify.com/v1/tracks/2jJOnnitK4dcYWdxUbASNz,"Andante e Rondo ungarese, Op. 35: I. Andante",0,audio_features,spotify:track:2jJOnnitK4dcYWdxUbASNz,0.335
0.711,https://api.spotify.com/v1/audio-analysis/6FH8qFGw3k9x9d1S3N5sTN,Lesley Gore,61,0.691,125667,0.421,6FH8qFGw3k9x9d1S3N5sTN,0,8,0.463,-11.129,1,0.0371,130.89,4,https://api.spotify.com/v1/tracks/6FH8qFGw3k9x9d1S3N5sTN,Sometimes I Wish I Were A Boy,31,audio_features,spotify:track:6FH8qFGw3k9x9d1S3N5sTN,0.899
0.129,https://api.spotify.com/v1/audio-analysis/0MNeXIgvvo4kcJtHaiKnRb,Butch Cassidy,53,0.744,240000,0.53,0MNeXIgvvo4kcJtHaiKnRb,6.31E-05,7,0.0909,-8.299,1,0.183,92.982,4,https://api.spotify.com/v1/tracks/0MNeXIgvvo4kcJtHaiKnRb,All I See (feat. Snoop Dogg),46,audio_features,spotify:track:0MNeXIgvvo4kcJtHaiKnRb,0.339
0.0187,https://api.spotify.com/v1/audio-analysis/4bUd2KPGcdPooVcQivoLvx,DISTORT,16,0.594,187505,0.899,4bUd2KPGcdPooVcQivoLvx,0.375,10,0.205,-6.135,0,0.0566,127.992,4,https://api.spotify.com/v1/tracks/4bUd2KPGcdPooVcQivoLvx,Badman,0,audio_features,spotify:track:4bUd2KPGcdPooVcQivoLvx,0.333
0.113,https://api.spotify.com/v1/audio-analysis/2Cp2U3MLzJwT1H3MuPOePG,SKS CREW,11,0.495,342000,0.813,2Cp2U3MLzJwT1H3MuPOePG,0,11,0.2,-8.007,1,0.172,89.636,4,https://api.spotify.com/v1/tracks/2Cp2U3MLzJwT1H3MuPOePG,Pendez-les !,3,audio_features,spotify:track:2Cp2U3MLzJwT1H3MuPOePG,0.559
