acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.993,https://api.spotify.com/v1/audio-analysis/4uHxC8VAXjQZz32dOHgfCl,Ricky Ian Gordon,12,0.432,566532,0.181,4uHxC8VAXjQZz32dOHgfCl,0.93,4,0.111,-19.26,0,0.0655,96.964,4,https://api.spotify.com/v1/tracks/4uHxC8VAXjQZz32dOHgfCl,The Caste System - III. Mechanically,0,audio_features,spotify:track:4uHxC8VAXjQZz32dOHgfCl,0.0396
0.866,https://api.spotify.com/v1/audio-analysis/4vZNqHKi852d0Vjm0OQ3V3,Toots Thielemans,48,0.526,270973,0.257,4vZNqHKi852d0Vjm0OQ3V3,0.465,1,0.13,-14.916,1,0.0591,179.521,4,https://api.spotify.com/v1/tracks/4vZNqHKi852d0Vjm0OQ3V3,Strutting With Some Barbecue,6,audio_features,spotify:track:4vZNqHKi852d0Vjm0OQ3V3,0.742
0.00987,https://api.spotify.com/v1/audio-analysis/4qMlNK3z76KBZCEBsoHRnk,Tiffany,59,0.744,224409,0.865,4qMlNK3z76KBZCEBsoHRnk,0.00412,7,0.0234,-6.087,1,0.0645,130.519,4,https://api.spotify.com/v1/tracks/4qMlNK3z76KBZCEBsoHRnk,I Think We're Alone Now,17,audio_features,spotify:track:4qMlNK3z76KBZCEBsoHRnk,0.919
0.629,https://api.spotify.com/v1/audio-analysis/5IhEbPS8pxqL6HmFc59LK9,Charles Bradley,61,0.589,201549,0.56,5IhEbPS8pxqL6HmFc59LK9,0.00273,10,0.157,-6.838,0,0.0261,97.057,3,https://api.spotify.com/v1/tracks/5IhEbPS8pxqL6HmFc59LK9,In You (I Found a Love),34,audio_features,spotify:track:5IhEbPS8pxqL6HmFc59LK9,0.736
0.819,https://api.spotify.com/v1/audio-analysis/7pjIzwfww4fsd95ium9f16,Erich-Storz-Trio,2,0.683,180520,0.373,7pjIzwfww4fsd95ium9f16,0,7,0.142,-11.817,1,0.0321,118.016,4,https://api.spotify.com/v1/tracks/7pjIzwfww4fsd95ium9f16,Rennsteig-Lied,0,audio_features,spotify:track:7pjIzwfww4fsd95ium9f16,0.92
0.00235,https://api.spotify.com/v1/audio-analysis/6ns18ZPBRy4B4n06cplufL,Tiësto,87,0.406,269747,0.94,6ns18ZPBRy4B4n06cplufL,0.572,7,0.297,-3.51,1,0.0863,127.924,4,https://api.spotify.com/v1/tracks/6ns18ZPBRy4B4n06cplufL,We Own the Night (feat. Luciana) [Original Mix],35,audio_features,spotify:track:6ns18ZPBRy4B4n06cplufL,0.211
0.712,https://api.spotify.com/v1/audio-analysis/4TqgHe1684YPJUWoaZAuFm,David Archuleta,60,0.196,299560,0.14,4TqgHe1684YPJUWoaZAuFm,0,8,0.117,-14.75,1,0.037,74.651,3,https://api.spotify.com/v1/tracks/4TqgHe1684YPJUWoaZAuFm,"Be Still, My Soul",38,audio_features,spotify:track:4TqgHe1684YPJUWoaZAuFm,0.182
0.598,https://api.spotify.com/v1/audio-analysis/0Js9hB2I66nJliPIJxzn2R,TNGHT,42,0.711,199343,0.761,0Js9hB2I66nJliPIJxzn2R,0.127,6,0.134,-7.267,1,0.233,160.738,4,https://api.spotify.com/v1/tracks/0Js9hB2I66nJliPIJxzn2R,Higher Ground,53,audio_features,spotify:track:0Js9hB2I66nJliPIJxzn2R,0.526
0.923,https://api.spotify.com/v1/audio-analysis/6LC13LqYftcZEosovA7Uy8,JaY Prov,0,0.668,268762,0.588,6LC13LqYftcZEosovA7Uy8,1.43E-06,8,0.11,-10.487,1,0.267,89.613,4,https://api.spotify.com/v1/tracks/6LC13LqYftcZEosovA7Uy8,Ain't so Bad,0,audio_features,spotify:track:6LC13LqYftcZEosovA7Uy8,0.497
0.995,https://api.spotify.com/v1/audio-analysis/6kHjAKZclipe74BpOnIznl,Women's Chant Schola,0,0.255,117645,0.0246,6kHjAKZclipe74BpOnIznl,0.829,5,0.101,-29.244,0,0.0496,134.351,3,https://api.spotify.com/v1/tracks/6kHjAKZclipe74BpOnIznl,Alleluia: Pascha Nostrum,5,audio_features,spotify:track:6kHjAKZclipe74BpOnIznl,0.13
0.0103,https://api.spotify.com/v1/audio-analysis/1s0ZnU6fU42bmUt5TtJKnv,KENTUCKY SCHREIT,0,0.667,240177,0.829,1s0ZnU6fU42bmUt5TtJKnv,1.76E-05,1,0.0506,-6.037,1,0.032,119.995,4,https://api.spotify.com/v1/tracks/1s0ZnU6fU42bmUt5TtJKnv,Ich küss dich nicht,0,audio_features,spotify:track:1s0ZnU6fU42bmUt5TtJKnv,0.774
0.0241,https://api.spotify.com/v1/audio-analysis/43Gp24Z4QMdTQOehLfih3o,Big K.A.P.O,15,0.804,141714,0.425,43Gp24Z4QMdTQOehLfih3o,0,10,0.233,-11.32,0,0.102,121.988,4,https://api.spotify.com/v1/tracks/43Gp24Z4QMdTQOehLfih3o,Heavy Metal,32,audio_features,spotify:track:43Gp24Z4QMdTQOehLfih3o,0.236
0.0304,https://api.spotify.com/v1/audio-analysis/5VislrSoqOIGkKiF7cYXvW,Young Tender,53,0.439,237465,0.622,5VislrSoqOIGkKiF7cYXvW,0.488,11,0.114,-10.644,0,0.0326,142.018,4,https://api.spotify.com/v1/tracks/5VislrSoqOIGkKiF7cYXvW,Si No Vas a Ser Tú - Los Blenders Remix,20,audio_features,spotify:track:5VislrSoqOIGkKiF7cYXvW,0.188
0.341,https://api.spotify.com/v1/audio-analysis/47yj86hXe7pEEiIjDaXzMD,Palavra Cantada,59,0.906,205293,0.578,47yj86hXe7pEEiIjDaXzMD,4.51E-05,11,0.351,-7.964,0,0.0427,122.968,4,https://api.spotify.com/v1/tracks/47yj86hXe7pEEiIjDaXzMD,Vambora,23,audio_features,spotify:track:47yj86hXe7pEEiIjDaXzMD,0.704
0.346,https://api.spotify.com/v1/audio-analysis/7GF34WD11f3Uhggwy0WPwh,Borneland,33,0.776,369391,0.689,7GF34WD11f3Uhggwy0WPwh,0.518,9,0.0971,-5.084,0,0.0302,115.008,4,https://api.spotify.com/v1/tracks/7GF34WD11f3Uhggwy0WPwh,Night Time,47,audio_features,spotify:track:7GF34WD11f3Uhggwy0WPwh,0.541
0.0761,https://api.spotify.com/v1/audio-analysis/1Tfq41fYK17MnEVK5CWYpz,Regengeräusche Orchester von TraxLab,59,0.151,66318,0.751,1Tfq41fYK17MnEVK5CWYpz,0.786,1,0.651,-26.45,1,0.0836,85.568,3,https://api.spotify.com/v1/tracks/1Tfq41fYK17MnEVK5CWYpz,Gewittergeräusche mit Regen - Teil 32,46,audio_features,spotify:track:1Tfq41fYK17MnEVK5CWYpz,0.0186
0.92,https://api.spotify.com/v1/audio-analysis/7hVsNjrvtfXZlzxW5vxsAi,Pyotr Ilyich Tchaikovsky,72,0.241,227288,0.099,7hVsNjrvtfXZlzxW5vxsAi,0.934,9,0.103,-26.281,1,0.0422,106.902,4,https://api.spotify.com/v1/tracks/7hVsNjrvtfXZlzxW5vxsAi,"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 1, Decoration of the Christmas Tree",47,audio_features,spotify:track:7hVsNjrvtfXZlzxW5vxsAi,0.0986
0.971,https://api.spotify.com/v1/audio-analysis/6OuZGlzX3XTQmyJtzpS0Z4,Kerstin Andeby,40,0.515,82573,0.0929,6OuZGlzX3XTQmyJtzpS0Z4,0,7,0.106,-10.378,1,0.038,80.276,4,https://api.spotify.com/v1/tracks/6OuZGlzX3XTQmyJtzpS0Z4,Så mörk är natten i midvintertid,3,audio_features,spotify:track:6OuZGlzX3XTQmyJtzpS0Z4,0.638
0.269,https://api.spotify.com/v1/audio-analysis/3saVgweidPGsCBmUW1yZWa,Insane Clown Posse,68,0.939,270640,0.937,3saVgweidPGsCBmUW1yZWa,0,10,0.152,-2.791,0,0.21,107.995,4,https://api.spotify.com/v1/tracks/3saVgweidPGsCBmUW1yZWa,Imma Kill U,50,audio_features,spotify:track:3saVgweidPGsCBmUW1yZWa,0.756
0.672,https://api.spotify.com/v1/audio-analysis/1l9kRIdzxnnYPcc3yzhRm8,Jules Verne,50,0.711,182391,0.38,1l9kRIdzxnnYPcc3yzhRm8,0,10,0.413,-15.258,0,0.943,128.333,5,https://api.spotify.com/v1/tracks/1l9kRIdzxnnYPcc3yzhRm8,"Teil 45 - Das Vermächtnis der Eissphinx - Jules Vernes Kapitän Nemo - Neue Abenteuer, Folge 2",5,audio_features,spotify:track:1l9kRIdzxnnYPcc3yzhRm8,0.608
0.158,https://api.spotify.com/v1/audio-analysis/48OjVDCQSEfYtFLVpEGWyC,Sing n Play,46,0.775,121373,0.838,48OjVDCQSEfYtFLVpEGWyC,0,7,0.0507,-5.8,1,0.0593,156.112,4,https://api.spotify.com/v1/tracks/48OjVDCQSEfYtFLVpEGWyC,John Jacob Jingleheimer-Schmidt,48,audio_features,spotify:track:48OjVDCQSEfYtFLVpEGWyC,0.969
0.178,https://api.spotify.com/v1/audio-analysis/6FwJj7uwhZ1vrBlDZvMLZk,Migos,82,0.743,184276,0.731,6FwJj7uwhZ1vrBlDZvMLZk,0,2,0.0876,-3.417,1,0.379,177.924,4,https://api.spotify.com/v1/tracks/6FwJj7uwhZ1vrBlDZvMLZk,"Is You Ready - From ""Mile 22""",56,audio_features,spotify:track:6FwJj7uwhZ1vrBlDZvMLZk,0.243
0.281,https://api.spotify.com/v1/audio-analysis/1iFxfrXBSttpgXbfxfMWlR,Grupo Viento Y Sol,34,0.447,178400,0.582,1iFxfrXBSttpgXbfxfMWlR,0,4,0.117,-8.59,0,0.0385,141.761,4,https://api.spotify.com/v1/tracks/1iFxfrXBSttpgXbfxfMWlR,Alma De Basura,29,audio_features,spotify:track:1iFxfrXBSttpgXbfxfMWlR,0.551
0.0408,https://api.spotify.com/v1/audio-analysis/6CgGOeJvfm2zUyk4b5ga4r,Brantley Gilbert,70,0.477,180840,0.852,6CgGOeJvfm2zUyk4b5ga4r,3.40E-06,6,0.292,-5.103,0,0.0529,166.213,4,https://api.spotify.com/v1/tracks/6CgGOeJvfm2zUyk4b5ga4r,The Weekend,12,audio_features,spotify:track:6CgGOeJvfm2zUyk4b5ga4r,0.646
0.0296,https://api.spotify.com/v1/audio-analysis/4CyMzD8DiE5o6yV1fYGjna,MUNA,65,0.782,219747,0.541,4CyMzD8DiE5o6yV1fYGjna,0.000594,8,0.273,-5.391,1,0.0465,104.016,4,https://api.spotify.com/v1/tracks/4CyMzD8DiE5o6yV1fYGjna,Hands Off,45,audio_features,spotify:track:4CyMzD8DiE5o6yV1fYGjna,0.852
0.00451,https://api.spotify.com/v1/audio-analysis/4WyPLAyUXRfy4WNbIDFkd1,Seezyn,65,0.635,177903,0.838,4WyPLAyUXRfy4WNbIDFkd1,0,1,0.163,-4.08,0,0.0439,76.009,4,https://api.spotify.com/v1/tracks/4WyPLAyUXRfy4WNbIDFkd1,Drop Dead,20,audio_features,spotify:track:4WyPLAyUXRfy4WNbIDFkd1,0.274
0.00105,https://api.spotify.com/v1/audio-analysis/7r6hOTSR173A3TKtzuf1RW,Johannes Albert,34,0.816,338460,0.44,7r6hOTSR173A3TKtzuf1RW,0.929,10,0.0898,-11.911,0,0.103,120.998,4,https://api.spotify.com/v1/tracks/7r6hOTSR173A3TKtzuf1RW,Responsible for Nothing,0,audio_features,spotify:track:7r6hOTSR173A3TKtzuf1RW,0.59
0.0405,https://api.spotify.com/v1/audio-analysis/3CGWZ3tjCwhrtNbNjGgwgH,GAWNE,62,0.498,157188,0.782,3CGWZ3tjCwhrtNbNjGgwgH,1.59E-05,8,0.103,-5.139,1,0.199,89.256,4,https://api.spotify.com/v1/tracks/3CGWZ3tjCwhrtNbNjGgwgH,Better Days,52,audio_features,spotify:track:3CGWZ3tjCwhrtNbNjGgwgH,0.332
0.0234,https://api.spotify.com/v1/audio-analysis/4Jv7lweGIUOFQ7Oq2AtAh9,Lykke Li,73,0.786,280070,0.696,4Jv7lweGIUOFQ7Oq2AtAh9,0.0019,9,0.0839,-5.796,0,0.0428,121.974,4,https://api.spotify.com/v1/tracks/4Jv7lweGIUOFQ7Oq2AtAh9,I Follow Rivers - The Magician Remix,76,audio_features,spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,0.306
0.965,https://api.spotify.com/v1/audio-analysis/6G1DSHGCE4v9rMChJ1A0aL,David Nichtern,15,0.324,379773,0.0462,6G1DSHGCE4v9rMChJ1A0aL,0.91,2,0.103,-20.088,1,0.0351,68.452,3,https://api.spotify.com/v1/tracks/6G1DSHGCE4v9rMChJ1A0aL,Simplicity,22,audio_features,spotify:track:6G1DSHGCE4v9rMChJ1A0aL,0.0352
0.033,https://api.spotify.com/v1/audio-analysis/1u4Pvk7eUW7qTi6WmJjdgH,ZZ Ward,51,0.681,199933,0.869,1u4Pvk7eUW7qTi6WmJjdgH,6.15E-05,11,0.0913,-4.939,0,0.113,139.941,4,https://api.spotify.com/v1/tracks/1u4Pvk7eUW7qTi6WmJjdgH,Blue Eyes Blind - Live from Fairfax Recordings,15,audio_features,spotify:track:1u4Pvk7eUW7qTi6WmJjdgH,0.478
0.208,https://api.spotify.com/v1/audio-analysis/416XBAqBQECEjtMS8dlPQM,NLE Choppa,81,0.891,199220,0.636,416XBAqBQECEjtMS8dlPQM,0,10,0.126,-7.72,0,0.251,91.502,4,https://api.spotify.com/v1/tracks/416XBAqBQECEjtMS8dlPQM,Drop Shit,64,audio_features,spotify:track:416XBAqBQECEjtMS8dlPQM,0.43
0.0365,https://api.spotify.com/v1/audio-analysis/43btz2xjMKpcmjkuRsvxyg,John Mellencamp,69,0.811,254493,0.41,43btz2xjMKpcmjkuRsvxyg,6.63E-06,9,0.0799,-8.214,1,0.0391,103.965,4,https://api.spotify.com/v1/tracks/43btz2xjMKpcmjkuRsvxyg,Jack & Diane,78,audio_features,spotify:track:43btz2xjMKpcmjkuRsvxyg,0.626
0.000829,https://api.spotify.com/v1/audio-analysis/3dJCbcLcqMKJVZ9Vd390K3,Albert Hammond Jr,53,0.419,218000,0.866,3dJCbcLcqMKJVZ9Vd390K3,0.0003,9,0.104,-3.944,1,0.0463,162.061,4,https://api.spotify.com/v1/tracks/3dJCbcLcqMKJVZ9Vd390K3,Far Away Truths,51,audio_features,spotify:track:3dJCbcLcqMKJVZ9Vd390K3,0.764
0.0265,https://api.spotify.com/v1/audio-analysis/7HoEqdpTmFoEKwPVn9hDWR,Horror House,0,0.742,295302,0.813,7HoEqdpTmFoEKwPVn9hDWR,0.907,1,0.124,-12.11,1,0.0529,130.001,4,https://api.spotify.com/v1/tracks/7HoEqdpTmFoEKwPVn9hDWR,Little Fish In A Big House,0,audio_features,spotify:track:7HoEqdpTmFoEKwPVn9hDWR,0.204
0.0588,https://api.spotify.com/v1/audio-analysis/0BBEM9eMuCUNAnSZRJwyz2,Lbandy Music,35,0.786,177711,0.328,0BBEM9eMuCUNAnSZRJwyz2,0.886,7,0.265,-10.703,0,0.0405,100.116,4,https://api.spotify.com/v1/tracks/0BBEM9eMuCUNAnSZRJwyz2,Rhymes of a Bandit,28,audio_features,spotify:track:0BBEM9eMuCUNAnSZRJwyz2,0.963
0.009,https://api.spotify.com/v1/audio-analysis/1iv7HkH7b86yfOgQTYwSEX,Los Luzeros De Rioverde,28,0.793,127944,0.568,1iv7HkH7b86yfOgQTYwSEX,0.0121,0,0.509,-7.345,1,0.0344,107.406,4,https://api.spotify.com/v1/tracks/1iv7HkH7b86yfOgQTYwSEX,Margarita,21,audio_features,spotify:track:1iv7HkH7b86yfOgQTYwSEX,0.741
0.58,https://api.spotify.com/v1/audio-analysis/6Di3qYrm7y6dLZ6CFVbgqN,Area,30,0.257,411053,0.842,6Di3qYrm7y6dLZ6CFVbgqN,0.231,0,0.593,-7.131,0,0.143,78.377,4,https://api.spotify.com/v1/tracks/6Di3qYrm7y6dLZ6CFVbgqN,"Luglio, agosto, settembre (nero) - Live 1976 in Lisbona",1,audio_features,spotify:track:6Di3qYrm7y6dLZ6CFVbgqN,0.5
0.783,https://api.spotify.com/v1/audio-analysis/47mouGTKibhdzYVM2IykqK,Passenger,75,0.373,221467,0.209,47mouGTKibhdzYVM2IykqK,7.83E-06,3,0.121,-12.261,1,0.0345,122.91,4,https://api.spotify.com/v1/tracks/47mouGTKibhdzYVM2IykqK,Let Me Dream a While,36,audio_features,spotify:track:47mouGTKibhdzYVM2IykqK,0.309
0.00625,https://api.spotify.com/v1/audio-analysis/2fpgDViPyJprOsKQ6HdDI3,James Warren,8,0.634,3532068,0.727,2fpgDViPyJprOsKQ6HdDI3,0.81,1,0.171,-8.755,1,0.0401,122.261,4,https://api.spotify.com/v1/tracks/2fpgDViPyJprOsKQ6HdDI3,Visceral 067 - Part 2,0,audio_features,spotify:track:2fpgDViPyJprOsKQ6HdDI3,0.205
0.0109,https://api.spotify.com/v1/audio-analysis/1wDj7bP5REErz61x2M3AQs,Too $hort,69,0.882,305867,0.344,1wDj7bP5REErz61x2M3AQs,1.08E-05,7,0.108,-13.904,1,0.267,77.022,4,https://api.spotify.com/v1/tracks/1wDj7bP5REErz61x2M3AQs,Only the Strong Survive,18,audio_features,spotify:track:1wDj7bP5REErz61x2M3AQs,0.72
0.761,https://api.spotify.com/v1/audio-analysis/5auJ9rk371ZEEiQ2DXncHa,Django Reinhardt Trio,31,0.781,182160,0.478,5auJ9rk371ZEEiQ2DXncHa,0.9,5,0.0525,-9.903,1,0.0596,105.847,4,https://api.spotify.com/v1/tracks/5auJ9rk371ZEEiQ2DXncHa,Hot Lips,17,audio_features,spotify:track:5auJ9rk371ZEEiQ2DXncHa,0.766
0.631,https://api.spotify.com/v1/audio-analysis/4MmBr48975X3QybHlztzoI,The Chantels,41,0.371,137627,0.342,4MmBr48975X3QybHlztzoI,0.0505,7,0.285,-9.137,1,0.0267,69.674,4,https://api.spotify.com/v1/tracks/4MmBr48975X3QybHlztzoI,I Love You So,38,audio_features,spotify:track:4MmBr48975X3QybHlztzoI,0.504
0.00485,https://api.spotify.com/v1/audio-analysis/5oqNQrHnv03J89bbG6y6bW,2Pac,84,0.86,208360,0.576,5oqNQrHnv03J89bbG6y6bW,0.0184,8,0.172,-3.878,0,0.0569,89.762,4,https://api.spotify.com/v1/tracks/5oqNQrHnv03J89bbG6y6bW,Who Do You Love?,46,audio_features,spotify:track:5oqNQrHnv03J89bbG6y6bW,0.489
0.456,https://api.spotify.com/v1/audio-analysis/7CtViMh5EgoE8krmPPuOhi,The Head And The Heart,68,0.476,241707,0.783,7CtViMh5EgoE8krmPPuOhi,0.723,4,0.13,-8.001,1,0.0355,111.082,4,https://api.spotify.com/v1/tracks/7CtViMh5EgoE8krmPPuOhi,Shake,56,audio_features,spotify:track:7CtViMh5EgoE8krmPPuOhi,0.415
0.000428,https://api.spotify.com/v1/audio-analysis/5U84vBvWfmZZuT2uqupmmB,Mark Ronson,79,0.754,196107,0.921,5U84vBvWfmZZuT2uqupmmB,3.89E-05,7,0.669,-5.293,1,0.1,124.973,4,https://api.spotify.com/v1/tracks/5U84vBvWfmZZuT2uqupmmB,Uptown Funk (feat. Bruno Mars) - Wideboys VIP Remix,40,audio_features,spotify:track:5U84vBvWfmZZuT2uqupmmB,0.773
0.0329,https://api.spotify.com/v1/audio-analysis/1lycZ6BCUETp0NauGdZbsm,Scott Benson Band,39,0.159,297493,0.377,1lycZ6BCUETp0NauGdZbsm,0.898,7,0.075,-10.195,0,0.0406,66.988,4,https://api.spotify.com/v1/tracks/1lycZ6BCUETp0NauGdZbsm,Requiem for a Dream,56,audio_features,spotify:track:1lycZ6BCUETp0NauGdZbsm,0.0956
0.584,https://api.spotify.com/v1/audio-analysis/7x5e8G8Be483DNS3ri4TNe,Oya,38,0.469,253733,0.516,7x5e8G8Be483DNS3ri4TNe,2.92E-06,10,0.13,-11.303,1,0.0627,108.669,4,https://api.spotify.com/v1/tracks/7x5e8G8Be483DNS3ri4TNe,Sevme Zamanı,53,audio_features,spotify:track:7x5e8G8Be483DNS3ri4TNe,0.33
