id,station,population,zip
12th Street_94612,12th Street,16062,94612
12th Street_94612,12th Street,16062,94612
16th Street Mission_94103,16th Street Mission,28735,94103
16th Street Mission_94114,16th Street Mission,34754,94114
19th Street_94612,19th Street,16062,94612
19th Street_94612,19th Street,16062,94612
24th Street Mission_94110,24th Street Mission,74161,94110
24th Street Mission_94114,24th Street Mission,34754,94114
Ashby_94702,Ashby,17092,94702
Ashby_94702,Ashby,17092,94702
Ashby_94703,Ashby,21937,94703
Ashby_94703,Ashby,21937,94703
Ashby_94704,Ashby,29190,94704
Ashby_94704,Ashby,29190,94704
Balboa Park_94112,Balboa Park,85166,94112
Balboa Park_94127,Balboa Park,21423,94127
Bay Fair_94578,Bay Fair,41059,94578
Berryessa_95133,Berryessa,28726,95133
Civic Center_94102,Civic Center,31067,94102
Civic Center_94103,Civic Center,28735,94103
Civic Center_94104,Civic Center,546,94104
Civic Center_94108,Civic Center,14550,94108
Colma_94015,Colma,64887,94015
Downtown Berkeley_94702,Downtown Berkeley,17092,94702
Downtown Berkeley_94702,Downtown Berkeley,17092,94702
Downtown Berkeley_94703,Downtown Berkeley,21937,94703
Downtown Berkeley_94703,Downtown Berkeley,21937,94703
Downtown Berkeley_94704,Downtown Berkeley,29190,94704
Downtown Berkeley_94704,Downtown Berkeley,29190,94704
Downtown Berkeley_94709,Downtown Berkeley,11740,94709
Downtown Berkeley_94709,Downtown Berkeley,11740,94709
Downtown Berkeley_94720,Downtown Berkeley,2971,94720
Downtown Berkeley_94720,Downtown Berkeley,2971,94720
El Cerrito Plaza_94706,El Cerrito Plaza,21040,94706
El Cerrito Plaza_94706,El Cerrito Plaza,21040,94706
Embarcadero_94104,Embarcadero,546,94104
Embarcadero_94105,Embarcadero,9155,94105
Embarcadero_94108,Embarcadero,14550,94108
Embarcadero_94111,Embarcadero,3620,94111
Embarcadero_94133,Embarcadero,26527,94133
Fremont_94536,Fremont,73855,94536
Fruitvale_94601,Fruitvale,52299,94601
Glen Park_94112,Glen Park,85166,94112
Glen Park_94131,Glen Park,29902,94131
Hayward_94541,Hayward,66056,94541
Lake Merritt_94612,Lake Merritt,16062,94612
MacArthur_94609,MacArthur,22811,94609
MacArthur_94609,MacArthur,22811,94609
Millbrae_94030,Millbrae,22710,94030
Montgomery Street_94102,Montgomery Street,31067,94102
Montgomery Street_94104,Montgomery Street,546,94104
Montgomery Street_94105,Montgomery Street,9155,94105
Montgomery Street_94108,Montgomery Street,14550,94108
Montgomery Street_94111,Montgomery Street,3620,94111
Montgomery Street_94133,Montgomery Street,26527,94133
North Berkeley_94702,North Berkeley,17092,94702
North Berkeley_94702,North Berkeley,17092,94702
North Berkeley_94703,North Berkeley,21937,94703
North Berkeley_94703,North Berkeley,21937,94703
North Berkeley_94709,North Berkeley,11740,94709
North Berkeley_94709,North Berkeley,11740,94709
Powell Street_94102,Powell Street,31067,94102
Powell Street_94103,Powell Street,28735,94103
Powell Street_94104,Powell Street,546,94104
Powell Street_94105,Powell Street,9155,94105
Powell Street_94108,Powell Street,14550,94108
Powell Street_94109,Powell Street,56677,94109
San Bruno_94066,San Bruno,43124,94066
San Leandro_94577,San Leandro,48088,94577
SFO_94128,SFO,135,94128
South Hayward_94544,South Hayward,79235,94544
Union City_94587,Union City,74601,94587
West Oakland_94607,West Oakland,26254,94607
